timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-05-29T18:52:50-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.04%,15.72MiB / 30MiB,52.40%,7.09MB / 7.63MB,0B / 12.3kB,15
2026-05-29T18:52:55-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,41.81%,65.42MiB / 160MiB,40.89%,2.52MB / 988kB,643kB / 0B,77
2026-05-29T18:52:55-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,38.64%,62.46MiB / 160MiB,39.04%,2.53MB / 1.03MB,868kB / 0B,64
2026-05-29T18:52:55-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.15%,15.97MiB / 30MiB,53.24%,7.13MB / 7.67MB,0B / 12.3kB,15
2026-05-29T18:52:59-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,43.43%,63.02MiB / 160MiB,39.38%,2.53MB / 1MB,643kB / 0B,71
2026-05-29T18:52:59-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,1.97%,61.8MiB / 160MiB,38.63%,2.54MB / 1.04MB,868kB / 0B,64
2026-05-29T18:52:59-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.09%,15.64MiB / 30MiB,52.14%,7.14MB / 7.69MB,0B / 12.3kB,15
2026-05-29T18:53:03-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,41.16%,63MiB / 160MiB,39.38%,2.53MB / 1.01MB,643kB / 0B,71
2026-05-29T18:53:03-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,1.68%,62.24MiB / 160MiB,38.90%,2.54MB / 1.04MB,868kB / 0B,64
2026-05-29T18:53:03-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.09%,14.73MiB / 30MiB,49.11%,7.16MB / 7.72MB,0B / 12.3kB,15
2026-05-29T18:53:07-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.14%,63.33MiB / 160MiB,39.58%,2.53MB / 1.02MB,643kB / 0B,71
2026-05-29T18:53:07-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.09%,61.78MiB / 160MiB,38.61%,2.54MB / 1.04MB,868kB / 0B,64
2026-05-29T18:53:07-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,13.12MiB / 30MiB,43.72%,7.2MB / 7.75MB,0B / 12.3kB,15
2026-05-29T18:53:12-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.12%,63.31MiB / 160MiB,39.57%,2.53MB / 1.02MB,643kB / 0B,71
2026-05-29T18:53:12-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.09%,61.77MiB / 160MiB,38.61%,2.54MB / 1.04MB,868kB / 0B,64
